problem_id,dataset,model,provider,temperature,turn,max_turns,template,reasoning_trace_file,extracted_answer,reference_answer,accuracy,self_confidence,teacher_bias,teacher_confidence,combined_confidence,reasoning_summary,execution_details,final_accuracy,total_turns,experiment_config
HumanEval/0,humaneval,claude-3-sonnet-20240229,anthropic,0.2,0,3,,full_scale_study_results/reasoning_traces/code/HumanEval/0/turn_0_reasoning.txt,ERROR_NotFoundError,,0,0.1,Logic-error,0.5,0.3,"No function definition found in reasoning: ANTHROPIC_API_ERROR: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'messa...","{""passed"": false, ""passed_count"": 0, ""total_count"": 7, ""stdout"": """", ""stderr"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmp2tl2a3ys/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?\n"", ""runtime_ms"": 289.61706161499023, ""error"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmp2tl2a3ys/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""error_type"": ""unknown_error"", ""traceback_excerpt"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""failing_location"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?""}",0,3,"{""dataset_name"": ""humaneval"", ""model"": ""claude-3-sonnet-20240229"", ""provider"": ""anthropic"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_claude-sonnet_humaneval_20250916T091306Z""}"
HumanEval/0,humaneval,claude-3-sonnet-20240229,anthropic,0.2,1,3,verify_requirements_v1,full_scale_study_results/reasoning_traces/code/HumanEval/0/turn_1_reasoning.txt,ERROR_NotFoundError,,0,0.1,Logic-error,0.5,0.3,"No function definition found in reasoning: ANTHROPIC_API_ERROR: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'messa...","{""passed"": false, ""passed_count"": 0, ""total_count"": 7, ""stdout"": """", ""stderr"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmp3e6wkloh/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?\n"", ""runtime_ms"": 98.06632995605469, ""error"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmp3e6wkloh/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""error_type"": ""unknown_error"", ""traceback_excerpt"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""failing_location"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?""}",0,3,"{""dataset_name"": ""humaneval"", ""model"": ""claude-3-sonnet-20240229"", ""provider"": ""anthropic"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_claude-sonnet_humaneval_20250916T091306Z""}"
HumanEval/0,humaneval,claude-3-sonnet-20240229,anthropic,0.2,2,3,verify_requirements_v1,full_scale_study_results/reasoning_traces/code/HumanEval/0/turn_2_reasoning.txt,ERROR_NotFoundError,,0,0.1,Logic-error,0.5,0.3,"No function definition found in reasoning: ANTHROPIC_API_ERROR: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'messa...","{""passed"": false, ""passed_count"": 0, ""total_count"": 7, ""stdout"": """", ""stderr"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmpzxj40p0h/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?\n"", ""runtime_ms"": 127.53605842590332, ""error"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmpzxj40p0h/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""error_type"": ""unknown_error"", ""traceback_excerpt"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""failing_location"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?""}",0,3,"{""dataset_name"": ""humaneval"", ""model"": ""claude-3-sonnet-20240229"", ""provider"": ""anthropic"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_claude-sonnet_humaneval_20250916T091306Z""}"
HumanEval/1,humaneval,claude-3-sonnet-20240229,anthropic,0.2,0,3,,full_scale_study_results/reasoning_traces/code/HumanEval/1/turn_0_reasoning.txt,ERROR_NotFoundError,,0,0.1,Logic-error,0.5,0.3,"No function definition found in reasoning: ANTHROPIC_API_ERROR: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'messa...","{""passed"": false, ""passed_count"": 0, ""total_count"": 4, ""stdout"": """", ""stderr"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmptelortfy/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?\n"", ""runtime_ms"": 135.41507720947266, ""error"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmptelortfy/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""error_type"": ""unknown_error"", ""traceback_excerpt"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""failing_location"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?""}",0,3,"{""dataset_name"": ""humaneval"", ""model"": ""claude-3-sonnet-20240229"", ""provider"": ""anthropic"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_claude-sonnet_humaneval_20250916T091306Z""}"
HumanEval/1,humaneval,claude-3-sonnet-20240229,anthropic,0.2,1,3,verify_requirements_v1,full_scale_study_results/reasoning_traces/code/HumanEval/1/turn_1_reasoning.txt,ERROR_NotFoundError,,0,0.1,Logic-error,0.5,0.3,"No function definition found in reasoning: ANTHROPIC_API_ERROR: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'messa...","{""passed"": false, ""passed_count"": 0, ""total_count"": 4, ""stdout"": """", ""stderr"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmp_vzsnn86/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?\n"", ""runtime_ms"": 95.74389457702637, ""error"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmp_vzsnn86/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""error_type"": ""unknown_error"", ""traceback_excerpt"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""failing_location"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?""}",0,3,"{""dataset_name"": ""humaneval"", ""model"": ""claude-3-sonnet-20240229"", ""provider"": ""anthropic"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_claude-sonnet_humaneval_20250916T091306Z""}"
HumanEval/1,humaneval,claude-3-sonnet-20240229,anthropic,0.2,2,3,verify_requirements_v1,full_scale_study_results/reasoning_traces/code/HumanEval/1/turn_2_reasoning.txt,ERROR_NotFoundError,,0,0.1,Logic-error,0.5,0.3,"No function definition found in reasoning: ANTHROPIC_API_ERROR: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'messa...","{""passed"": false, ""passed_count"": 0, ""total_count"": 4, ""stdout"": """", ""stderr"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmp2jyrjmd2/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?\n"", ""runtime_ms"": 408.51807594299316, ""error"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmp2jyrjmd2/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""error_type"": ""unknown_error"", ""traceback_excerpt"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""failing_location"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?""}",0,3,"{""dataset_name"": ""humaneval"", ""model"": ""claude-3-sonnet-20240229"", ""provider"": ""anthropic"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_claude-sonnet_humaneval_20250916T091306Z""}"
HumanEval/2,humaneval,claude-3-sonnet-20240229,anthropic,0.2,0,3,,full_scale_study_results/reasoning_traces/code/HumanEval/2/turn_0_reasoning.txt,ERROR_NotFoundError,,0,0.1,Logic-error,0.5,0.3,"No function definition found in reasoning: ANTHROPIC_API_ERROR: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'messa...","{""passed"": false, ""passed_count"": 0, ""total_count"": 3, ""stdout"": """", ""stderr"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmpawaw5wv0/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?\n"", ""runtime_ms"": 82.0920467376709, ""error"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmpawaw5wv0/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""error_type"": ""unknown_error"", ""traceback_excerpt"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""failing_location"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?""}",0,3,"{""dataset_name"": ""humaneval"", ""model"": ""claude-3-sonnet-20240229"", ""provider"": ""anthropic"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_claude-sonnet_humaneval_20250916T091306Z""}"
HumanEval/2,humaneval,claude-3-sonnet-20240229,anthropic,0.2,1,3,verify_requirements_v1,full_scale_study_results/reasoning_traces/code/HumanEval/2/turn_1_reasoning.txt,ERROR_NotFoundError,,0,0.1,Logic-error,0.5,0.3,"No function definition found in reasoning: ANTHROPIC_API_ERROR: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'messa...","{""passed"": false, ""passed_count"": 0, ""total_count"": 3, ""stdout"": """", ""stderr"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmprlrf1te6/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?\n"", ""runtime_ms"": 56.539058685302734, ""error"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmprlrf1te6/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""error_type"": ""unknown_error"", ""traceback_excerpt"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""failing_location"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?""}",0,3,"{""dataset_name"": ""humaneval"", ""model"": ""claude-3-sonnet-20240229"", ""provider"": ""anthropic"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_claude-sonnet_humaneval_20250916T091306Z""}"
HumanEval/2,humaneval,claude-3-sonnet-20240229,anthropic,0.2,2,3,verify_requirements_v1,full_scale_study_results/reasoning_traces/code/HumanEval/2/turn_2_reasoning.txt,ERROR_NotFoundError,,0,0.1,Logic-error,0.5,0.3,"No function definition found in reasoning: ANTHROPIC_API_ERROR: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'messa...","{""passed"": false, ""passed_count"": 0, ""total_count"": 3, ""stdout"": """", ""stderr"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmpr7ejwla2/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?\n"", ""runtime_ms"": 58.232784271240234, ""error"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmpr7ejwla2/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""error_type"": ""unknown_error"", ""traceback_excerpt"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""failing_location"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?""}",0,3,"{""dataset_name"": ""humaneval"", ""model"": ""claude-3-sonnet-20240229"", ""provider"": ""anthropic"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_claude-sonnet_humaneval_20250916T091306Z""}"
HumanEval/3,humaneval,claude-3-sonnet-20240229,anthropic,0.2,0,3,,full_scale_study_results/reasoning_traces/code/HumanEval/3/turn_0_reasoning.txt,ERROR_NotFoundError,,0,0.1,Logic-error,0.5,0.3,"No function definition found in reasoning: ANTHROPIC_API_ERROR: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'messa...","{""passed"": false, ""passed_count"": 0, ""total_count"": 6, ""stdout"": """", ""stderr"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmp10vgvyro/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?\n"", ""runtime_ms"": 82.0000171661377, ""error"": ""Traceback (most recent call last):\n  File \""/var/folders/bs/1c6zdbzj6w79xtnhmf7r6hl80000gn/T/tmp10vgvyro/test_module.py\"", line 8, in <module>\n    ERROR_NotFoundError\nNameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""error_type"": ""unknown_error"", ""traceback_excerpt"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?"", ""failing_location"": ""NameError: name 'ERROR_NotFoundError' is not defined. Did you mean: 'FileNotFoundError'?""}",0,3,"{""dataset_name"": ""humaneval"", ""model"": ""claude-3-sonnet-20240229"", ""provider"": ""anthropic"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_claude-sonnet_humaneval_20250916T091306Z""}"
