qid,question,ground_truth,topic
superglue_1,Sample reasoning question 1,Sample reasoning answer 1,reasoning
superglue_2,Sample reasoning question 2,Sample reasoning answer 2,reasoning
superglue_3,Sample reasoning question 3,Sample reasoning answer 3,reasoning
superglue_4,Sample reasoning question 4,Sample reasoning answer 4,reasoning
superglue_5,Sample reasoning question 5,Sample reasoning answer 5,reasoning
superglue_6,Sample reasoning question 6,Sample reasoning answer 6,reasoning
superglue_7,Sample reasoning question 7,Sample reasoning answer 7,reasoning
superglue_8,Sample reasoning question 8,Sample reasoning answer 8,reasoning
superglue_9,Sample reasoning question 9,Sample reasoning answer 9,reasoning
superglue_10,Sample reasoning question 10,Sample reasoning answer 10,reasoning
superglue_11,Sample reasoning question 11,Sample reasoning answer 11,reasoning
superglue_12,Sample reasoning question 12,Sample reasoning answer 12,reasoning
superglue_13,Sample reasoning question 13,Sample reasoning answer 13,reasoning
superglue_14,Sample reasoning question 14,Sample reasoning answer 14,reasoning
superglue_15,Sample reasoning question 15,Sample reasoning answer 15,reasoning
superglue_16,Sample reasoning question 16,Sample reasoning answer 16,reasoning
superglue_17,Sample reasoning question 17,Sample reasoning answer 17,reasoning
superglue_18,Sample reasoning question 18,Sample reasoning answer 18,reasoning
superglue_19,Sample reasoning question 19,Sample reasoning answer 19,reasoning
superglue_20,Sample reasoning question 20,Sample reasoning answer 20,reasoning
superglue_21,Sample reasoning question 21,Sample reasoning answer 21,reasoning
superglue_22,Sample reasoning question 22,Sample reasoning answer 22,reasoning
superglue_23,Sample reasoning question 23,Sample reasoning answer 23,reasoning
superglue_24,Sample reasoning question 24,Sample reasoning answer 24,reasoning
superglue_25,Sample reasoning question 25,Sample reasoning answer 25,reasoning
superglue_26,Sample reasoning question 26,Sample reasoning answer 26,reasoning
superglue_27,Sample reasoning question 27,Sample reasoning answer 27,reasoning
superglue_28,Sample reasoning question 28,Sample reasoning answer 28,reasoning
superglue_29,Sample reasoning question 29,Sample reasoning answer 29,reasoning
superglue_30,Sample reasoning question 30,Sample reasoning answer 30,reasoning
superglue_31,Sample reasoning question 31,Sample reasoning answer 31,reasoning
superglue_32,Sample reasoning question 32,Sample reasoning answer 32,reasoning
superglue_33,Sample reasoning question 33,Sample reasoning answer 33,reasoning
superglue_34,Sample reasoning question 34,Sample reasoning answer 34,reasoning
superglue_35,Sample reasoning question 35,Sample reasoning answer 35,reasoning
superglue_36,Sample reasoning question 36,Sample reasoning answer 36,reasoning
superglue_37,Sample reasoning question 37,Sample reasoning answer 37,reasoning
superglue_38,Sample reasoning question 38,Sample reasoning answer 38,reasoning
superglue_39,Sample reasoning question 39,Sample reasoning answer 39,reasoning
superglue_40,Sample reasoning question 40,Sample reasoning answer 40,reasoning
superglue_41,Sample reasoning question 41,Sample reasoning answer 41,reasoning
superglue_42,Sample reasoning question 42,Sample reasoning answer 42,reasoning
superglue_43,Sample reasoning question 43,Sample reasoning answer 43,reasoning
superglue_44,Sample reasoning question 44,Sample reasoning answer 44,reasoning
superglue_45,Sample reasoning question 45,Sample reasoning answer 45,reasoning
superglue_46,Sample reasoning question 46,Sample reasoning answer 46,reasoning
superglue_47,Sample reasoning question 47,Sample reasoning answer 47,reasoning
superglue_48,Sample reasoning question 48,Sample reasoning answer 48,reasoning
superglue_49,Sample reasoning question 49,Sample reasoning answer 49,reasoning
superglue_50,Sample reasoning question 50,Sample reasoning answer 50,reasoning
superglue_51,Sample reasoning question 51,Sample reasoning answer 51,reasoning
superglue_52,Sample reasoning question 52,Sample reasoning answer 52,reasoning
superglue_53,Sample reasoning question 53,Sample reasoning answer 53,reasoning
superglue_54,Sample reasoning question 54,Sample reasoning answer 54,reasoning
superglue_55,Sample reasoning question 55,Sample reasoning answer 55,reasoning
superglue_56,Sample reasoning question 56,Sample reasoning answer 56,reasoning
superglue_57,Sample reasoning question 57,Sample reasoning answer 57,reasoning
superglue_58,Sample reasoning question 58,Sample reasoning answer 58,reasoning
superglue_59,Sample reasoning question 59,Sample reasoning answer 59,reasoning
superglue_60,Sample reasoning question 60,Sample reasoning answer 60,reasoning
superglue_61,Sample reasoning question 61,Sample reasoning answer 61,reasoning
superglue_62,Sample reasoning question 62,Sample reasoning answer 62,reasoning
superglue_63,Sample reasoning question 63,Sample reasoning answer 63,reasoning
superglue_64,Sample reasoning question 64,Sample reasoning answer 64,reasoning
superglue_65,Sample reasoning question 65,Sample reasoning answer 65,reasoning
superglue_66,Sample reasoning question 66,Sample reasoning answer 66,reasoning
superglue_67,Sample reasoning question 67,Sample reasoning answer 67,reasoning
superglue_68,Sample reasoning question 68,Sample reasoning answer 68,reasoning
superglue_69,Sample reasoning question 69,Sample reasoning answer 69,reasoning
superglue_70,Sample reasoning question 70,Sample reasoning answer 70,reasoning
superglue_71,Sample reasoning question 71,Sample reasoning answer 71,reasoning
superglue_72,Sample reasoning question 72,Sample reasoning answer 72,reasoning
