dataset,split,model,temperature,k,metric,value,timestamp
humaneval,auto,gpt-4o,0.2,1,pass@k,0.7804878048780488,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.7804878048780488,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.0,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.29,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.0,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.0,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.7804878048780488,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.95,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.3,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.0,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.0,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.7804878048780488,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.9,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.3,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.0,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.0,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.7804878048780488,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.95,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.0,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.0,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.8048780487804879,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.37,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.95,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.0,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.0,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.7865853658536586,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.33,
humaneval,auto,gpt-4o,0.2,1,pass@k,0.95,
