qid,question,ground_truth,topic
record_35729,"Passage: Washington (CNN) -- When Paul Ryan struggled to explain a budget-balancing timeline under Mitt Romney, he highlighted the difficulty of trying to run a substantive campaign without being too specific. While Ryan's interview Tuesday with Fox News' Brit Hume was no Sarah Palin-Katie Couric moment, the Republican vice presidential candidate's discomfort in answering when Romney's proposal would balance the budget was evident. Ryan, a seven-term congressman from Wisconsin and chairman of the House Budget Committee, said he was unsure when Romney's proposals would balance the federal budget. Romney's plans say he would ""put the federal government on a course toward a balanced budget"" but does not say when.
@highlight
Paul Ryan, a top GOP numbers guy, struggles to explain Mitt Romney's fuzzy budget details
@highlight
Part of Ryan's difficulty stems from difference between his and Romney's budget proposals
@highlight
Expert: Romney campaign needs to give Ryan some leeway where he can go into specifics
@highlight
Otherwise, the professor says, ""the Obama campaign will define them""

Query: The plan we offer in the @placeholder balances the budget.",0,superglue
record_17352,"Passage: Former Commons deputy speaker Nigel Evans has said that he could not have survived his court ordeal without the help of Coronation Street stars William Roache and Vicky Entwistle. The independent MP - who was cleared of cleared of rape, five sexual assaults, one attempted sexual assault and two indecent assaults - has also admitted that he considered suicide during the trial. He said that 81-year-old star Mr Roache, who was also cleared of sexual assault charges, helped him through the darkest time of his life. Scroll down for video Former Commons deputy speaker Nigel Evans has said that he could not have survived his court ordeal without the help of Coronation Street stars Bill Roache and Vicky Entwistle
@highlight
Coronation Street stars supported him throughout rape accusation ordeal
@highlight
He said: 'Without my friends, I would have been a broken man'
@highlight
Former deputy speaker was cleared of sexual assault charges

Query: He added: ‘@placeholder just a few weeks ago from this very spot said there are no winners in these cases and that’s absolutely right.",0,superglue
record_41143,"Passage: WASHINGTON (CNN) -- Participation in government health insurance programs -- particularly those aimed at children -- increased from 2006 to 2007, leading to a decrease in the number of Americans lacking insurance, the U.S. Census Bureau said Tuesday. The Census Bureau says 15.3 percent of Americans lacked health insurance in 2007. Overall, 45.7 million people, or 15.3 percent of U.S. residents, did not have health insurance in 2007, the bureau said in releasing reports on poverty, income and insurance. That represents a decrease from the 2006 level of 47 million, or 15.8 percent. The decrease came as a surprise, as the number of uninsured Americans had been expected to rise for a seventh straight year. It also gives a boost to proponents of expanding government health-care plans such as the State Children's Health Insurance Program, or SCHIP.
@highlight
Census: 45.7 million Americans uninsured in 2007, down from 47 million in 2006
@highlight
Decrease a surprise, number was expected to increase for seventh straight year
@highlight
Findings will give boost to backers of expanded government health-care plans
@highlight
Real median household income increased 1.3 percent nationwide, Census finds

Query: However, people must lack health insurance for a year before being counted as ""uninsured"" by the @placeholder, meaning the actual number could be higher.",0,superglue
record_36525,"Passage: By Matt Chorley, Mailonline Political Editor PUBLISHED: 05:31 EST, 10 December 2013 | UPDATED: 07:55 EST, 10 December 2013 It might not seem very statesmanlike but at least it is festive. Deputy Prime Minister Nick Clegg revealed his official Christmas card today, complete with him in a Santa hat and wife Miriam sporting reindeer ears and Rudolph's red nose. The humorous image is the work of their sons, and is a marked departure from the carefully stage-managed portraits chosen by the other political leaders. Joke: Deputy Prime Minister Nick Clegg allowed his sons to use an iPad to doctor this photograph of him and wife Miriam
@highlight
Clegg sons Antonio, Miguel and Alberto created image on an iPad
@highlight
Jokey image in marked contrast to other party leaders' more serious cards
@highlight
Miliband chose family photograph taken during Labour party conference
@highlight
Labour leader seen walking with wife Justine and sons Samuel and Daniel
@highlight
David Cameron opts for snap with wife Samantha and daughter Florence
@highlight
Ex-UKIP MEP Godfrey Bloom poses with bongo drums and wife as a 'slut'

Query: The Miliband family portrait shows Mr @placeholder and wife Justine with their sons Daniel and Samuel.",0,superglue
record_2690,"Passage: By Snejana Farberov PUBLISHED: 09:08 EST, 12 June 2013 | UPDATED: 09:15 EST, 12 June 2013 A Pennsylvania couple have avoided jail time after pleading guilty to charges in Indiana for driving cross country with five of their children inside a rented moving truck's unheated cargo area. A Henry County judge on Tuesday sentenced David Detjen, 41, and his 40-year-old wife, Rebecca, of Fairmont City, Pennsylvania, each to 18 months of probation after accepting their guilty pleas to felony child neglect. The Detjens were arrested last November at an Interstate 70 truck stop near New Castle as they were driving to California in search of work and a new life.
@highlight
David and Rebecca Detjen received 18-month suspended sentences after pleading guilty to felony child neglect
@highlight
Couple were arrested last November after Indiana state troopers discovered five of their children inside unheated box truck
@highlight
Detjens were heading to California after father lost his job in Pennsylvania
@highlight
Both parents have criminal records, including child molestation conviction for Mr Detjen

Query: The couple were jailed on child neglect charges after their arrest at an eastern @placeholder truck stop.",0,superglue
record_34283,"Passage: Coca-Cola is expected to launch a new green product in Australia, made from a naturally sweet plant, in a bid to target health conscious soft drink lovers. The new carbonated beverage provides a lower-calorie soft drink than Coca-Cola's traditional red can and has more natural ingredients than Diet Coke. But unlike Diet Coke, which is completely sugar free, Coke Life still has sugar. The new addition to Coke's range of 3,500 beverages, should also not be mistaken for Coke Zero, which is a low-calorie drink that is marketed at men who don't like the word 'diet' and is meant to taste exactly the same as classic Coca-Cola.
@highlight
Coca-Cola Life comes in a green can and has 27 calories
@highlight
It has 60 per cent less calories than classic Coke
@highlight
Unlike Diet Coke and Coke Zero it still contains sugar
@highlight
But it uses the plant Stevia to sweeten it as well, instead of the man-made sweetener Aspartame used in Diet Coke
@highlight
Nutrition Australia says the drink still encourages people to want sweet things and is still likely to cause dental erosion
@highlight
Coca-Cola are expected to launch the product in Australia

Query: @placeholder is the name of the plant from which stevia sweetener (steviol glycoside) is obtained.",0,superglue
record_29533,"Passage: Prosecutors in Billings, Montana are looking for legal standing to fight a 30-day sentence handed down to a teacher who admitted to raping his 14-year-old student. The girl later took her own life. ""This case is very important. As I've said before, this resulted in the loss of one of our young people in my community,"" said Scott Twito, a prosecutor with the Yellowstone County attorney's office. ""We take these charges very seriously. And we fight for those victims."" He said he strongly disagrees with the sentence District Judge G. Todd Baugh gave to Stacey Dean Rambold this week. CNN obtained a copy of a memo from Twito's office to the Montana attorney general's office, which is reviewing the case.
@highlight
""I told them the judge was wrong,"" the victim's mother tells CNN
@highlight
Protesters rally against Judge G. Todd Baugh at a Billings courthouse
@highlight
Cherice Moralez, 14 when she was raped, committed suicide before her 17th birthday
@highlight
Baugh apologizes for saying teen rape victim shared ""control"" of situation

Query: This meant that all charges against @placeholder would be dismissed if he completed a sex-offender treatment program and met other requirements.",0,superglue
record_93864,"Passage: (CNN) -- Harry Devert's motorcycle journey from the United States to Latin America is somewhat reminiscent of ""The Motorcycle Diaries,"" which recount the South American travels of revolutionary Ernesto ""Che"" Guevara on an old motorbike in search of his insurgent spirit. But Devert, 32, who left a job as a trader in finance to travel the world, has not been in touch with his mother or girlfriend in New York since January 25. That day he sent girlfriend Sarah Ashley Schiear an ominous text via the WhatsApp messenger app. ""Just got an hour and a half long escort out of some area it was too dangerous for me to be,"" the message said. ""Stopping for lunch and ... voila Internet. ... Gonna get back on the road soon. Apparently there's another military escort waiting for me in some other town... I'm running way late because of the crazy military stuff...hopefully get a chance to talk to you tonight when I (hopefully) finally arrive.""
@highlight
Harry Devert was on a motorcycle ride through Mexico
@highlight
Family and friends in New York have not heard from him in two weeks
@highlight
His last message mentions getting an ""escort out of some area""

Query: He told her he'd be out of cell phone and @placeholder range a few days.",0,superglue
record_81585,"Passage: (CNN) -- Young German driver Nico Hulkenberg is looking for a new Formula One team after failing to agree a contract extension with Williams, the motorsport's official website reported on Monday. While the British-based team has retained veteran Brazilian Rubens Barrichello for 2011, the 23-year-old Hulkenberg will seek a new race seat following an impressive rookie season. ""I heavily regret that, because I would have been happy to stay with Williams,"" said Hulkenberg, who secured the team's first pole position since 2005 in Brazil this month. ""I want to thank the team for a great time and I wish Williams all the best for the future.""
@highlight
Nico Hulkenberg leaves Williams after contract negotiations for 2011 break down
@highlight
British team will retain veteran Rubens Barrichello and name new driver by end of year
@highlight
Hulkenberg had an impressive rookie season, claiming pole position in Brazil
@highlight
The drivers helped Williams to retain sixth place in the constructors' standings

Query: Williams said @placeholder's teammate for his 19th season driving in F1 will be announced before the end of this year.",0,superglue
record_9129,"Passage: By Martin Robinson PUBLISHED: 01:35 EST, 26 June 2013 | UPDATED: 02:07 EST, 26 June 2013 Moors murderer Ian Brady has bragged he is as notorious as Jack the Ripper and Britain was 'obsessed' with the way he tortured, sexually abused and murdered five children. In a four-hour self serving rant yesterday, Brady said he is still famous for 'theatrical reasons' because he buried bodies on the moors, drawing comparisons to Emily Brontë's 'Wuthering Heights and all that'. The 75-year-child killer then complained to his Manchester mental health tribunal that since he was jailed for life in 1966 he felt like a 'monkey in a cage being poked with a stick'.
@highlight
Ian Brady said he is famous for 'theatrical reasons' because of the moors link
@highlight
'They still talk about Jack the Ripper because of the drama. Mine's the same'
@highlight
He also told mental health tribunal the Moors Murders were 'recreational'
@highlight
Murderer said he killed for the 'existential experience'
@highlight
The family of some of his victims said hearing was a painful 'farce'
@highlight
Notorious criminal wants to be sent back to prison from Ashworth Hospital
@highlight
Tribunal is costing an estimated £250,000

Query: Claiming that he was the real victim, Brady – who has fought for a public hearing over the state of his mental health for a decade – complained that the public and media remained as ‘obsessed’ with his crimes as with @placeholder’s.",0,superglue
boolq_8576,"Context: Eye of Horus -- The Eye of Horus is an ancient Egyptian symbol of protection, royal power, and good health. The eye is personified in the goddess Wadjet (also written as Wedjat, or Udjat``, Uadjet, Wedjoyet, Edjo or Uto). The Eye of Horus is similar to the Eye of Ra, which belongs to a different god, Ra, but represents many of the same concepts.

Question: is the eye of horus the same as the eye of ra",No,superglue
multirc_15846,"Paragraph:  We were cornered in a sort of way already.  But these butchers up the cavern had been surprised, they were probably scared, and they had no special weapons, only those little hatchets of theirs.  And that way lay escape.  Their sturdy little forms--ever so much shorter and thicker than the mooncalf herds--were scattered up the slope in a way that was eloquent of indecision.  I had the moral advantage of a mad bull in a street.  But for all that, there seemed a tremendous crowd of them.  Very probably there was.  Those Selenites down the cleft had certainly some infernally long spears.  It might be they had other surprises for us.... But, confound it!  if we charged up the cave we should let them up behind us, and if we didn't those little brutes up the cave would probably get reinforced.  Heaven alone knew what tremendous engines of warfare--guns, bombs, terrestrial torpedoes--this unknown world below our feet, this vaster world of which we had only pricked the outer cuticle, might not presently send up to our destruction.  It became clear the only thing to do was to charge!  It became clearer as the legs of a number of fresh Selenites appeared running down the cavern towards us. 

Question: Where are the Selenites in relation to the narrator?

Answer: Below the cavern",0,superglue
record_58336,"Passage: By Chris Waugh Manchester City captain Vincent Kompany has heaped praise on former team-mate Daniel Sturridge - labelling the Liverpool forward as 'one of the best strikers in the world'. Kompany will come face-to-face with Sturridge once more on Monday night as City host Liverpool in the Premier League at the Etihad Stadium. And the Belgian expects a tough test from Brendan Rodgers' men, who he does not believe have been greatly weakened by the departure of Luis Suarez to Barcelona. Top: Liverpool's Daniel Sturridge 'one of the best strikers in the world', says Man City's Vincent Kompany Star performer: City captain Kompany expects a tough challenge from Liverpool at the Etihad on Monday night
@highlight
City host Liverpool in the Premier League at the Etihad Stadium on Monday
@highlight
Kompany believes former team-mate Sturridge is 'one of the world's best'
@highlight
Sturridge has netted an impressive 36 goals in 50 matches for Liverpool
@highlight
He scored six times in 32 appearances for City before leaving in 2009
@highlight
Kompany says Liverpool have not been weakened by loss of Luis Suarez
@highlight
City captain believes his side must be at their 'very best' to win on Monday
@highlight
Kompany was speaking in an interview with skysports.com ahead of game

Query: Elsewhere: @placeholder is now a distant memory as he trains with new club Barcelona after leaving Liverpool",0,superglue
record_36958,"Passage: (CNN) -- ""Joe Frazier is tied forever, almost by an umbilical chord, with Mohammad Ali because they obviously had a famous trilogy of fights, of which the first and the last were epic fights."" The words of respected boxing journalist Jeff Powell. Powell, a columnist for British newspaper The Mail has covered boxing all over the world and knew 'Smokin' Joe' -- who died on Monday aged 67 after a short battle with liver cancer -- both inside and outside the ring, having reported on his fights during the halcyon period of heavyweight boxing in the early 1970s. Speaking to CNN Sport following the announcement of Frazier's death, Powell said: ""In the American consciousness Joe is seen as the man who defined Ali in many ways.
@highlight
Joe Frazier will always be associated with his epic trilogy of fights against Mohammad Ali
@highlight
Respected boxing journalist Jeff Powell knew Frazier both inside and outside the boxing ring
@highlight
Powell believe Frazier will go down in history as one of the top 10 heavyweights of all time

Query: ""He had a fantastic left hook with which he not only knocked @placeholder down but broke his jaw in the first fight.",0,superglue
record_92321,"Passage: By Chris Greenwood Migrant camp: A Romanian is moved on from Park Lane as police crackdown on UK gypsies Police have travelled to Romania to discourage young men from coming to Britain and committing crime. In an unprecedented operation, Scotland Yard sent a ‘police mission’ of officers to rural northern Romania. The trip was designed to help stem the flow of low-skilled migrants who see London and similar cities as attractive destinations. Officers warned Romanians that if they arrive looking for jobs on the black market they are likely to be exploited or become victims of crime. But there is also evidence that many of those who come to Britain end up committing petty crimes such as begging and pickpocketing – sometimes recruited by organised gangs who ‘employ’ them to shoplift, steal and rob.
@highlight
Police warned people in northern rural towns they could be exploited
@highlight
Follows raid on London football club occupied by Romanian gypsies
@highlight
Mission was one of many measures being taken to curb immigration
@highlight
Panorama – The Romanians Are Coming, BBC1, 8.30pm tonight

Query: And @placeholder immigrants account for more than 11 per cent of all foreign national offenders – despite making up only a tiny proportion of UK residents.",0,superglue
record_92624,"Passage: It's widely touted as Topshop's younger, more purse-friendly sister, but Miss Selfridge is giving the high street mecca a run for its money with its latest collection. For the festive season, the design team at Miss Selfridge have created a premium collection of limited edition dresses and thanks to their dazzling sparkles and sequins, they're perfect for the Christmas party season. Creative Director Yasmin Yusuf has scoured the world’s vintage markets and delved into the brand’s archive to inspire the collection. Scroll down for video Amping up the glamour: Miss Selfridge has unveiled its glossy new collection of sparkly eveningwear (dress, £150)
@highlight
Arcadia store unveils vintage-inspired collection
@highlight
Reminiscent of Bugsy Malone era
@highlight
Millie Mackintosh and The Saturdays love the brand

Query: The range was inspired by prohibition era flapper dresses and couture gowns - think modern day @placeholder.",0,superglue
