qid,question,ground_truth,topic
mathbench_1,Sample math problem 1,Sample math answer 1,math
mathbench_2,Sample math problem 2,Sample math answer 2,math
mathbench_3,Sample math problem 3,Sample math answer 3,math
mathbench_4,Sample math problem 4,Sample math answer 4,math
mathbench_5,Sample math problem 5,Sample math answer 5,math
mathbench_6,Sample math problem 6,Sample math answer 6,math
mathbench_7,Sample math problem 7,Sample math answer 7,math
mathbench_8,Sample math problem 8,Sample math answer 8,math
mathbench_9,Sample math problem 9,Sample math answer 9,math
mathbench_10,Sample math problem 10,Sample math answer 10,math
mathbench_11,Sample math problem 11,Sample math answer 11,math
mathbench_12,Sample math problem 12,Sample math answer 12,math
mathbench_13,Sample math problem 13,Sample math answer 13,math
mathbench_14,Sample math problem 14,Sample math answer 14,math
mathbench_15,Sample math problem 15,Sample math answer 15,math
mathbench_16,Sample math problem 16,Sample math answer 16,math
mathbench_17,Sample math problem 17,Sample math answer 17,math
mathbench_18,Sample math problem 18,Sample math answer 18,math
mathbench_19,Sample math problem 19,Sample math answer 19,math
mathbench_20,Sample math problem 20,Sample math answer 20,math
mathbench_21,Sample math problem 21,Sample math answer 21,math
mathbench_22,Sample math problem 22,Sample math answer 22,math
mathbench_23,Sample math problem 23,Sample math answer 23,math
mathbench_24,Sample math problem 24,Sample math answer 24,math
mathbench_25,Sample math problem 25,Sample math answer 25,math
mathbench_26,Sample math problem 26,Sample math answer 26,math
mathbench_27,Sample math problem 27,Sample math answer 27,math
mathbench_28,Sample math problem 28,Sample math answer 28,math
mathbench_29,Sample math problem 29,Sample math answer 29,math
mathbench_30,Sample math problem 30,Sample math answer 30,math
mathbench_31,Sample math problem 31,Sample math answer 31,math
mathbench_32,Sample math problem 32,Sample math answer 32,math
mathbench_33,Sample math problem 33,Sample math answer 33,math
mathbench_34,Sample math problem 34,Sample math answer 34,math
mathbench_35,Sample math problem 35,Sample math answer 35,math
mathbench_36,Sample math problem 36,Sample math answer 36,math
mathbench_37,Sample math problem 37,Sample math answer 37,math
mathbench_38,Sample math problem 38,Sample math answer 38,math
mathbench_39,Sample math problem 39,Sample math answer 39,math
mathbench_40,Sample math problem 40,Sample math answer 40,math
mathbench_41,Sample math problem 41,Sample math answer 41,math
mathbench_42,Sample math problem 42,Sample math answer 42,math
mathbench_43,Sample math problem 43,Sample math answer 43,math
mathbench_44,Sample math problem 44,Sample math answer 44,math
mathbench_45,Sample math problem 45,Sample math answer 45,math
mathbench_46,Sample math problem 46,Sample math answer 46,math
mathbench_47,Sample math problem 47,Sample math answer 47,math
mathbench_48,Sample math problem 48,Sample math answer 48,math
mathbench_49,Sample math problem 49,Sample math answer 49,math
