qid,question,ground_truth,topic
superglue_1,Is the sky blue?,Yes,boolq
superglue_2,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_3,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_4,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_5,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_6,Is the sky blue?,Yes,boolq
superglue_7,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_8,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_9,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_10,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_11,Is the sky blue?,Yes,boolq
superglue_12,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_13,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_14,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_15,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_16,Is the sky blue?,Yes,boolq
superglue_17,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_18,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_19,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_20,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_21,Is the sky blue?,Yes,boolq
superglue_22,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_23,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_24,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_25,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_26,Is the sky blue?,Yes,boolq
superglue_27,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_28,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_29,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_30,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_31,Is the sky blue?,Yes,boolq
superglue_32,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_33,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_34,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_35,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_36,Is the sky blue?,Yes,boolq
superglue_37,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_38,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_39,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_40,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_41,Is the sky blue?,Yes,boolq
superglue_42,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_43,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_44,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_45,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_46,Is the sky blue?,Yes,boolq
superglue_47,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_48,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_49,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_50,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_51,Is the sky blue?,Yes,boolq
superglue_52,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_53,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_54,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_55,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_56,Is the sky blue?,Yes,boolq
superglue_57,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_58,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_59,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_60,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_61,Is the sky blue?,Yes,boolq
superglue_62,What is the cause of the effect: The car would not start?,The battery was dead,copa
superglue_63,Does the hypothesis follow from the premise? Premise: All birds can fly. Hypothesis: A sparrow can fly.,Yes,rte
superglue_64,What is the relationship between these words: cat and dog,Both are pets,wic
superglue_65,"What is the next number in the sequence: 2, 4, 6, 8, ?",10,arithmetic
superglue_66,Is the sky blue?,Yes,boolq
superglue_67,What is the cause of the effect: The car would not start?,The battery was dead,copa
