qid,question,ground_truth,topic
gsm8k_1,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,arithmetic
gsm8k_2,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,arithmetic
gsm8k_3,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,arithmetic
gsm8k_4,A robe takes 2 bolts of blue fabric and half that much white fabric. How many bolts of fabric does it take?,3,arithmetic
gsm8k_5,"Tom has 5 times as many books as Jerry. If Jerry has 8 books, how many books do they have together?",48,arithmetic
gsm8k_6,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,arithmetic
gsm8k_7,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,arithmetic
gsm8k_8,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,arithmetic
gsm8k_9,A robe takes 2 bolts of blue fabric and half that much white fabric. How many bolts of fabric does it take?,3,arithmetic
gsm8k_10,"Tom has 5 times as many books as Jerry. If Jerry has 8 books, how many books do they have together?",48,arithmetic
gsm8k_11,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,arithmetic
gsm8k_12,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,arithmetic
gsm8k_13,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,arithmetic
gsm8k_14,A robe takes 2 bolts of blue fabric and half that much white fabric. How many bolts of fabric does it take?,3,arithmetic
gsm8k_15,"Tom has 5 times as many books as Jerry. If Jerry has 8 books, how many books do they have together?",48,arithmetic
gsm8k_16,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,arithmetic
gsm8k_17,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,arithmetic
gsm8k_18,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,arithmetic
