dataset,ablation_arm,num_problems,pass_at_1,accuracy,model,run_id,file_path
gsm8k,unknown,1000,0.0,0.541,gpt-4o,gsm8k_1k_20250830T165549Z,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/full/gsm8k_1k_20250830T165549Z.json
gsm8k,confidence_only,1000,0.0,0.542,gpt-4o,gsm8k_20250830T165549Z,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/experiments/confidence_only/gsm8k_20250830T165549Z.json
gsm8k,baseline,1000,0.0,0.549,gpt-4o,gsm8k_20250830T165549Z,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/experiments/baseline/gsm8k_20250830T165549Z.json
gsm8k,full_system,1000,0.0,0.535,gpt-4o,gsm8k_20250830T165549Z,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/experiments/full_system/gsm8k_20250830T165549Z.json
gsm8k,multiturn_only,1000,0.0,0.537,gpt-4o,gsm8k_20250830T165549Z,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/experiments/multiturn_only/gsm8k_20250830T165549Z.json
gsm8k,error_awareness_only,1000,0.0,0.545,gpt-4o,gsm8k_20250830T165549Z,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/experiments/error_awareness_only/gsm8k_20250830T165549Z.json
humaneval,unknown,164,0.7804878048780488,0.7804878048780488,gpt-4o,heval_full_20250830T165549Z,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/full/heval_full_20250830T165549Z.json
humaneval,baseline,164,0.0,0.0,gpt-4o,humaneval_baseline,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/full_20250826T075310Z/humaneval_baseline.json
humaneval,confidence_only,164,0.0,0.0,gpt-4o,humaneval_confidence_only,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/full_20250826T075310Z/humaneval_confidence_only.json
humaneval,error_awareness_only,164,0.0,0.0,gpt-4o,humaneval_error_awareness_only,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/full_20250826T075310Z/humaneval_error_awareness_only.json
humaneval,full_system,20,0.0,0.0,gpt-4o,humaneval_full_system_summary,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/experiments/humaneval_full_system/humaneval_full_system_summary.json
humaneval,multiturn_only,164,0.0,0.0,gpt-4o,humaneval_multiturn_only,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/runs/full_20250826T075310Z/humaneval_multiturn_only.json
