problem_id,dataset,model,provider,temperature,turn,max_turns,template,reasoning_trace_file,extracted_answer,reference_answer,accuracy,self_confidence,teacher_bias,teacher_confidence,combined_confidence,reasoning_summary,execution_details,final_accuracy,total_turns,experiment_config
multirc_21380,superglue,gpt-4o-mini,openai,0.2,0,3,,full_scale_study_results/reasoning_traces/math/multirc_21380/turn_0_reasoning.txt,3,0,0,0.1,Confirmation,0.6,0.35,"Key reasoning steps:


Extracted answer: 3",{},0,3,"{""dataset_name"": ""superglue"", ""model"": ""gpt-4o-mini"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_gpt-4o-mini_superglue_20250916T120735Z""}"
multirc_21380,superglue,gpt-4o-mini,openai,0.2,1,3,think_step_by_step,full_scale_study_results/reasoning_traces/math/multirc_21380/turn_1_reasoning.txt,3,0,0,0.1,Confirmation,0.6,0.35,"Key reasoning steps:


Extracted answer: 3",{},0,3,"{""dataset_name"": ""superglue"", ""model"": ""gpt-4o-mini"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_gpt-4o-mini_superglue_20250916T120735Z""}"
multirc_21380,superglue,gpt-4o-mini,openai,0.2,2,3,think_step_by_step,full_scale_study_results/reasoning_traces/math/multirc_21380/turn_2_reasoning.txt,3,0,0,0.1,Confirmation,0.6,0.35,"Key reasoning steps:


Extracted answer: 3",{},0,3,"{""dataset_name"": ""superglue"", ""model"": ""gpt-4o-mini"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_gpt-4o-mini_superglue_20250916T120735Z""}"
record_80726,superglue,gpt-4o-mini,openai,0.2,0,3,,full_scale_study_results/reasoning_traces/math/record_80726/turn_0_reasoning.txt,3,0,0,0.1,Confirmation,0.6,0.35,"Key reasoning steps:


Extracted answer: 3",{},0,3,"{""dataset_name"": ""superglue"", ""model"": ""gpt-4o-mini"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_gpt-4o-mini_superglue_20250916T120735Z""}"
record_80726,superglue,gpt-4o-mini,openai,0.2,1,3,think_step_by_step,full_scale_study_results/reasoning_traces/math/record_80726/turn_1_reasoning.txt,3,0,0,0.1,Confirmation,0.6,0.35,"Key reasoning steps:


Extracted answer: 3",{},0,3,"{""dataset_name"": ""superglue"", ""model"": ""gpt-4o-mini"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_gpt-4o-mini_superglue_20250916T120735Z""}"
record_80726,superglue,gpt-4o-mini,openai,0.2,2,3,think_step_by_step,full_scale_study_results/reasoning_traces/math/record_80726/turn_2_reasoning.txt,3,0,0,0.1,Confirmation,0.6,0.35,"Key reasoning steps:


Extracted answer: 3",{},0,3,"{""dataset_name"": ""superglue"", ""model"": ""gpt-4o-mini"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_gpt-4o-mini_superglue_20250916T120735Z""}"
record_9837,superglue,gpt-4o-mini,openai,0.2,0,3,,full_scale_study_results/reasoning_traces/math/record_9837/turn_0_reasoning.txt,3,0,0,0.1,Confirmation,0.6,0.35,"Key reasoning steps:


Extracted answer: 3",{},0,3,"{""dataset_name"": ""superglue"", ""model"": ""gpt-4o-mini"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_gpt-4o-mini_superglue_20250916T120735Z""}"
record_9837,superglue,gpt-4o-mini,openai,0.2,1,3,think_step_by_step,full_scale_study_results/reasoning_traces/math/record_9837/turn_1_reasoning.txt,3,0,0,0.1,Confirmation,0.6,0.35,"Key reasoning steps:


Extracted answer: 3",{},0,3,"{""dataset_name"": ""superglue"", ""model"": ""gpt-4o-mini"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_gpt-4o-mini_superglue_20250916T120735Z""}"
record_9837,superglue,gpt-4o-mini,openai,0.2,2,3,think_step_by_step,full_scale_study_results/reasoning_traces/math/record_9837/turn_2_reasoning.txt,3,0,0,0.1,Confirmation,0.6,0.35,"Key reasoning steps:


Extracted answer: 3",{},0,3,"{""dataset_name"": ""superglue"", ""model"": ""gpt-4o-mini"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_gpt-4o-mini_superglue_20250916T120735Z""}"
record_3811,superglue,gpt-4o-mini,openai,0.2,0,3,,full_scale_study_results/reasoning_traces/math/record_3811/turn_0_reasoning.txt,3,0,0,0.1,Confirmation,0.6,0.35,"Key reasoning steps:


Extracted answer: 3",{},0,3,"{""dataset_name"": ""superglue"", ""model"": ""gpt-4o-mini"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""fullscale_gpt-4o-mini_superglue_20250916T120735Z""}"
