problem_id,dataset,model,provider,temperature,question,reference_answer,final_answer,final_accuracy,total_turns,initial_accuracy,improvement,reasoning_trace_files,templates_used,biases_detected,final_confidence,experiment_config
mathbench_1,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv,gpt-4o-mini,mixed,0.2,Sample math problem 1,Sample math answer 1,15,0,1,0,0,experimental-results/ensemble_mathbench_8model_final/ensemble_full_8model_with_llama_replicate_20250921_191613/reasoning_traces/math/mathbench_1/turn_0_reasoning.txt,,None,0.46,"{""dataset_name"": ""/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_8model_with_llama_replicate_20250921_191613""}"
mathbench_2,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv,gpt-4o-mini,mixed,0.2,Sample math problem 2,Sample math answer 2,402,0,1,0,0,experimental-results/ensemble_mathbench_8model_final/ensemble_full_8model_with_llama_replicate_20250921_191613/reasoning_traces/math/mathbench_2/turn_0_reasoning.txt,,None,0.46,"{""dataset_name"": ""/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_8model_with_llama_replicate_20250921_191613""}"
mathbench_3,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv,gpt-4o-mini,mixed,0.2,Sample math problem 3,Sample math answer 3,402,0,1,0,0,experimental-results/ensemble_mathbench_8model_final/ensemble_full_8model_with_llama_replicate_20250921_191613/reasoning_traces/math/mathbench_3/turn_0_reasoning.txt,,None,0.46,"{""dataset_name"": ""/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_8model_with_llama_replicate_20250921_191613""}"
mathbench_4,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv,gpt-4o-mini,mixed,0.2,Sample math problem 4,Sample math answer 4,1,0,1,0,0,experimental-results/ensemble_mathbench_8model_final/ensemble_full_8model_with_llama_replicate_20250921_191613/reasoning_traces/math/mathbench_4/turn_0_reasoning.txt,,None,0.46,"{""dataset_name"": ""/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_8model_with_llama_replicate_20250921_191613""}"
mathbench_5,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv,gpt-4o-mini,mixed,0.2,Sample math problem 5,Sample math answer 5,402,0,1,0,0,experimental-results/ensemble_mathbench_8model_final/ensemble_full_8model_with_llama_replicate_20250921_191613/reasoning_traces/math/mathbench_5/turn_0_reasoning.txt,,None,0.46,"{""dataset_name"": ""/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_8model_with_llama_replicate_20250921_191613""}"
mathbench_6,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv,gpt-4o-mini,mixed,0.2,Sample math problem 6,Sample math answer 6,402,0,1,0,0,experimental-results/ensemble_mathbench_8model_final/ensemble_full_8model_with_llama_replicate_20250921_191613/reasoning_traces/math/mathbench_6/turn_0_reasoning.txt,,None,0.46,"{""dataset_name"": ""/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_8model_with_llama_replicate_20250921_191613""}"
mathbench_7,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv,gpt-4o-mini,mixed,0.2,Sample math problem 7,Sample math answer 7,402,0,1,0,0,experimental-results/ensemble_mathbench_8model_final/ensemble_full_8model_with_llama_replicate_20250921_191613/reasoning_traces/math/mathbench_7/turn_0_reasoning.txt,,None,0.46,"{""dataset_name"": ""/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_8model_with_llama_replicate_20250921_191613""}"
mathbench_8,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv,gpt-4o-mini,mixed,0.2,Sample math problem 8,Sample math answer 8,402,0,1,0,0,experimental-results/ensemble_mathbench_8model_final/ensemble_full_8model_with_llama_replicate_20250921_191613/reasoning_traces/math/mathbench_8/turn_0_reasoning.txt,,None,0.43,"{""dataset_name"": ""/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_8model_with_llama_replicate_20250921_191613""}"
mathbench_9,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv,gpt-4o-mini,mixed,0.2,Sample math problem 9,Sample math answer 9,402,0,1,0,0,experimental-results/ensemble_mathbench_8model_final/ensemble_full_8model_with_llama_replicate_20250921_191613/reasoning_traces/math/mathbench_9/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_8model_with_llama_replicate_20250921_191613""}"
mathbench_10,/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv,gpt-4o-mini,mixed,0.2,Sample math problem 10,Sample math answer 10,402,0,1,0,0,experimental-results/ensemble_mathbench_8model_final/ensemble_full_8model_with_llama_replicate_20250921_191613/reasoning_traces/math/mathbench_10/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""/Users/bradleyharaguchi/Algoverse-Self-Correction-Classification/data/scaling/mathbench_sample_1000.csv"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_8model_with_llama_replicate_20250921_191613""}"
