dataset,split,model,temperature,k,metric,value,timestamp
gsm8k,auto,gpt-4o,0.2,,EM,0.7804878048780488,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.7804878048780488,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.29,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.7804878048780488,
gsm8k,auto,gpt-4o,0.2,,EM,0.95,
gsm8k,auto,gpt-4o,0.2,,EM,0.3,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.7804878048780488,
gsm8k,auto,gpt-4o,0.2,,EM,0.9,
gsm8k,auto,gpt-4o,0.2,,EM,0.3,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.7804878048780488,
gsm8k,auto,gpt-4o,0.2,,EM,0.95,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.8048780487804879,
gsm8k,auto,gpt-4o,0.2,,EM,0.37,
gsm8k,auto,gpt-4o,0.2,,EM,0.95,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.0,
gsm8k,auto,gpt-4o,0.2,,EM,0.7865853658536586,
gsm8k,auto,gpt-4o,0.2,,EM,0.33,
gsm8k,auto,gpt-4o,0.2,,EM,0.95,
