model,dataset,run_name,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,n_samples,config,model_size,cost_per_1k,estimated_cost,model_order
llama-3-70b,gsm8k,20250914T110424Z__gsm8k__dev__meta-meta-llama-3-70b__seed1__t0.2__mt3,0.169,0.148,0.194,1000,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'replicate', 'model': 'meta/meta-llama-3-70b', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",70.0,0.0007,0.42,4
llama-3-70b,superglue,20250914T033113Z__superglue_sample_1000__dev__meta-meta-llama-3-70b__seed1__t0.2__mt3,0.012,0.004,0.022,500,"{'dataset': 'data/scaling/superglue_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'replicate', 'model': 'meta/meta-llama-3-70b', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",70.0,0.0007,0.21,4
llama-3-70b,toolqa,20250913T105258Z__toolqa_sample_1000__dev__meta-meta-llama-3-70b__seed1__t0.2__mt3,0.058,0.038,0.08,500,"{'dataset': 'data/scaling/toolqa_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'replicate', 'model': 'meta/meta-llama-3-70b', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",70.0,0.0007,0.21,4
llama-3-70b,mathbench,20250914T045203Z__mathbench_sample_1000__dev__meta-meta-llama-3-70b__seed1__t0.2__mt3,0.646,0.604,0.688,500,"{'dataset': 'data/scaling/mathbench_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'replicate', 'model': 'meta/meta-llama-3-70b', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",70.0,0.0007,0.21,4
gpt-4,gsm8k,20250914T071025Z__gsm8k__dev__gpt-4__seed1__t0.2__mt3,0.485,0.454,0.517,1000,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",100.0,0.03,18.0,5
gpt-4,superglue,20250914T063456Z__superglue_sample_1000__dev__gpt-4__seed1__t0.2__mt3,0.866,0.836,0.898,500,"{'dataset': 'data/scaling/superglue_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",100.0,0.03,9.0,5
gpt-4,toolqa,20250913T110235Z__toolqa_sample_1000__dev__gpt-4__seed1__t0.2__mt3,0.952,0.934,0.97,500,"{'dataset': 'data/scaling/toolqa_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",100.0,0.03,9.0,5
gpt-4,mathbench,20250910T133420Z__mathbench_sample__dev__gpt-4__seed1__t0.2__mt3,0.98,0.968,0.99,500,"{'dataset': 'data/scaling/mathbench_sample.csv', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",100.0,0.03,9.0,5
gpt-4o,gsm8k,20250913T145036Z__gsm8k__dev__gpt-4o__seed1__t0.2__mt3,0.547,0.519,0.577,1000,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",8.0,0.0025,1.5,2
gpt-4o,superglue,20250913T121131Z__superglue_sample_1000__dev__gpt-4o__seed1__t0.2__mt3,0.988,0.978,0.996,500,"{'dataset': 'data/scaling/superglue_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",8.0,0.0025,0.75,2
