qid,question,ground_truth,topic
mathbench_1,What is 15 + 27?,42,math_elementary
mathbench_2,"If a pizza has 8 slices and you eat 3, how many are left?",5,math_elementary
mathbench_3,Solve for x: 2x + 5 = 13,x = 4,math_middle
mathbench_4,What is the area of a rectangle with length 6 and width 4?,24,math_middle
mathbench_5,Find the derivative of x² + 3x + 2,2x + 3,math_high
mathbench_6,Solve the quadratic equation: x² - 5x + 6 = 0,x = 2 or x = 3,math_high
mathbench_7,Evaluate the integral ∫(2x + 1)dx from 0 to 2,6,math_college
mathbench_8,"Find the eigenvalues of the matrix [[2, 1], [1, 2]]","λ₁ = 3, λ₂ = 1",math_college
mathbench_9,What is 15 + 27?,42,math_elementary
mathbench_10,"If a pizza has 8 slices and you eat 3, how many are left?",5,math_elementary
mathbench_11,Solve for x: 2x + 5 = 13,x = 4,math_middle
mathbench_12,What is the area of a rectangle with length 6 and width 4?,24,math_middle
mathbench_13,Find the derivative of x² + 3x + 2,2x + 3,math_high
mathbench_14,Solve the quadratic equation: x² - 5x + 6 = 0,x = 2 or x = 3,math_high
mathbench_15,Evaluate the integral ∫(2x + 1)dx from 0 to 2,6,math_college
mathbench_16,"Find the eigenvalues of the matrix [[2, 1], [1, 2]]","λ₁ = 3, λ₂ = 1",math_college
mathbench_17,What is 15 + 27?,42,math_elementary
mathbench_18,"If a pizza has 8 slices and you eat 3, how many are left?",5,math_elementary
mathbench_19,Solve for x: 2x + 5 = 13,x = 4,math_middle
mathbench_20,What is the area of a rectangle with length 6 and width 4?,24,math_middle
mathbench_21,Find the derivative of x² + 3x + 2,2x + 3,math_high
mathbench_22,Solve the quadratic equation: x² - 5x + 6 = 0,x = 2 or x = 3,math_high
mathbench_23,Evaluate the integral ∫(2x + 1)dx from 0 to 2,6,math_college
mathbench_24,"Find the eigenvalues of the matrix [[2, 1], [1, 2]]","λ₁ = 3, λ₂ = 1",math_college
mathbench_25,What is 15 + 27?,42,math_elementary
mathbench_26,"If a pizza has 8 slices and you eat 3, how many are left?",5,math_elementary
mathbench_27,Solve for x: 2x + 5 = 13,x = 4,math_middle
mathbench_28,What is the area of a rectangle with length 6 and width 4?,24,math_middle
mathbench_29,Find the derivative of x² + 3x + 2,2x + 3,math_high
mathbench_30,Solve the quadratic equation: x² - 5x + 6 = 0,x = 2 or x = 3,math_high
mathbench_31,Evaluate the integral ∫(2x + 1)dx from 0 to 2,6,math_college
