problem_id,dataset,model,provider,temperature,question,reference_answer,final_answer,final_accuracy,total_turns,initial_accuracy,improvement,reasoning_trace_files,templates_used,biases_detected,final_confidence,experiment_config
HumanEval/0,humaneval,gpt-4o-mini,mixed,0.2,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
",,"from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    # Edge case: if there are fewer than 2 numbers, return False
    if len(numbers) < 2:
        return False
    
    # Sort the numbers
    sorted_numbers = sorted(numbers)
    
    # Check adjacent pairs
    for i in range(len(sorted_numbers) - 1):
        if abs(sorted_numbers[i] - sorted_numbers[i + 1]) < threshold:
            return True
            
    return False",1,1,1,0,experimental-results/ensemble_humaneval_164_final/ensemble_full_7model_heterogeneous_20250921_101027/reasoning_traces/code/HumanEval/0/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""humaneval"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_7model_heterogeneous_20250921_101027""}"
HumanEval/1,humaneval,gpt-4o-mini,mixed,0.2,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
",,"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    """"""Separate groups of nested parentheses into a list of strings.""""""
    
    # Remove spaces from the input string
    paren_string = paren_string.replace("" "", """")
    
    result = []
    stack = []
    current_group = []
    
    for char in paren_string:
        if char == '(':
            # Start of a new group
            if not stack:  # If the stack is empty, we are starting a new group
                current_group = []  # Reset current group
            stack.append(char)
            current_group.append(char)  # Add to current group
        elif char == ')':
            if stack:
                stack.pop()  # Pop from stack
                current_group.append(char)  # Add to current group
                if not stack:  # If stack is empty, we have a complete group
                    result.append(''.join(current_group))  # Join current group and add to result
                    current_group = []  # Reset current group for the next group
    
    return result

# Example usage
print(separate_paren_groups('( ) (( )) (( )( ))'))  # Output: ['()', '(())', '(()())']",1,1,1,0,experimental-results/ensemble_humaneval_164_final/ensemble_full_7model_heterogeneous_20250921_101027/reasoning_traces/code/HumanEval/1/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""humaneval"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_7model_heterogeneous_20250921_101027""}"
HumanEval/2,humaneval,gpt-4o-mini,mixed,0.2,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
",,"def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    an integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    >>> truncate_number(5.0)
    0.0
    >>> truncate_number(2.75)
    0.75
    """"""
    # Step 1: Get the integer part
    integer_part = int(number)
    
    # Step 2: Calculate the decimal part
    decimal_part = number - integer_part
    
    # Step 3: Return the decimal part
    return decimal_part",1,1,1,0,experimental-results/ensemble_humaneval_164_final/ensemble_full_7model_heterogeneous_20250921_101027/reasoning_traces/code/HumanEval/2/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""humaneval"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_7model_heterogeneous_20250921_101027""}"
HumanEval/3,humaneval,gpt-4o-mini,mixed,0.2,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
",,"from typing import List

def below_zero(operations: List[int]) -> bool:
    """"""Detect if the balance of a bank account falls below zero at any point
    given a list of deposit and withdrawal operations.
    
    Args:
    operations (List[int]): A list of integers representing deposits and withdrawals.
    
    Returns:
    bool: True if the balance falls below zero at any point, otherwise False.
    
    Examples:
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
    balance = 0  # Start with a balance of zero
    
    for operation in operations:
        balance += operation  # Update the balance with the current operation
        if balance < 0:  # Check if the balance has fallen below zero
            return True  # Return True immediately if it has
    
    return False  # Return False if we finish all operations without going below zero",1,1,1,0,experimental-results/ensemble_humaneval_164_final/ensemble_full_7model_heterogeneous_20250921_101027/reasoning_traces/code/HumanEval/3/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""humaneval"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_7model_heterogeneous_20250921_101027""}"
HumanEval/4,humaneval,gpt-4o-mini,mixed,0.2,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
",,"from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    if not numbers:  # Handle empty list case
        return 0.0

    n = len(numbers)
    
    # Step 1: Calculate the mean
    mean_value = sum(numbers) / n
    
    # Step 2: Calculate the absolute differences from the mean
    absolute_differences = [abs(x - mean_value) for x in numbers]
    
    # Step 3: Calculate the mean of these absolute differences
    mad = sum(absolute_differences) / n
    
    return mad",1,1,1,0,experimental-results/ensemble_humaneval_164_final/ensemble_full_7model_heterogeneous_20250921_101027/reasoning_traces/code/HumanEval/4/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""humaneval"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_7model_heterogeneous_20250921_101027""}"
HumanEval/5,humaneval,gpt-4o-mini,mixed,0.2,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
",,"from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers' """"""
    result = []
    
    for i in range(len(numbers)):
        result.append(numbers[i])  # Add the current number
        if i < len(numbers) - 1:   # If it's not the last number
            result.append(delimeter) # Add the delimiter
    
    return result

# Example usage:
print(intersperse([], 4))        # Output: []
print(intersperse([1, 2, 3], 4)) # Output: [1, 4, 2, 4, 3]",1,1,1,0,experimental-results/ensemble_humaneval_164_final/ensemble_full_7model_heterogeneous_20250921_101027/reasoning_traces/code/HumanEval/5/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""humaneval"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_7model_heterogeneous_20250921_101027""}"
HumanEval/6,humaneval,gpt-4o-mini,mixed,0.2,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
",,"from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
    # Split the input string into groups based on spaces
    groups = paren_string.split()
    depths = []

    for group in groups:
        max_depth = 0
        current_depth = 0
        
        for char in group:
            if char == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1
        
        # Append the maximum depth found for this group
        depths.append(max_depth)

    return depths",1,1,1,0,experimental-results/ensemble_humaneval_164_final/ensemble_full_7model_heterogeneous_20250921_101027/reasoning_traces/code/HumanEval/6/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""humaneval"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_7model_heterogeneous_20250921_101027""}"
HumanEval/7,humaneval,gpt-4o-mini,mixed,0.2,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
",,"from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    # Initialize an empty list to hold the filtered results
    filtered_strings = []
    
    # Iterate through each string in the input list
    for string in strings:
        # Check if the substring is in the current string
        if substring in string:
            # If it is, add the string to the filtered list
            filtered_strings.append(string)
    
    # Return the list of filtered strings
    return filtered_strings",1,1,1,0,experimental-results/ensemble_humaneval_164_final/ensemble_full_7model_heterogeneous_20250921_101027/reasoning_traces/code/HumanEval/7/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""humaneval"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_7model_heterogeneous_20250921_101027""}"
HumanEval/8,humaneval,gpt-4o-mini,mixed,0.2,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
",,"from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    if not numbers:  # Check if the list is empty
        return (0, 1)
    
    total_sum = sum(numbers)  # Calculate the sum using built-in function
    total_product = 1  # Initialize product to 1
    
    for number in numbers:  # Calculate the product
        total_product *= number
    
    return (total_sum, total_product)  # Return the results as a tuple",1,1,1,0,experimental-results/ensemble_humaneval_164_final/ensemble_full_7model_heterogeneous_20250921_101027/reasoning_traces/code/HumanEval/8/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""humaneval"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_7model_heterogeneous_20250921_101027""}"
HumanEval/9,humaneval,gpt-4o-mini,mixed,0.2,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
",,"from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    if not numbers:  # Handle the case of an empty list
        return []
    
    rolling_max_list = []
    current_max = numbers[0]  # Start with the first element as the current maximum
    
    for number in numbers:
        current_max = max(current_max, number)  # Update the current maximum
        rolling_max_list.append(current_max)  # Append the current maximum to the result list
    
    return rolling_max_list",1,1,1,0,experimental-results/ensemble_humaneval_164_final/ensemble_full_7model_heterogeneous_20250921_101027/reasoning_traces/code/HumanEval/9/turn_0_reasoning.txt,,None,0.41,"{""dataset_name"": ""humaneval"", ""model"": ""gpt-4o-mini"", ""provider"": ""mixed"", ""temperature"": 0.2, ""max_turns"": 1, ""experiment_id"": ""ensemble_full_7model_heterogeneous_20250921_101027""}"
