problem_id,split,final_correct,num_turns,first_try_correct,recoveries,avg_confidence
q1,subset_20,True,1,True,False,0.85
q2,subset_20,True,1,True,False,0.85
q3,subset_20,True,1,True,False,0.85
q4,subset_20,True,1,True,False,0.85
q5,subset_20,True,1,True,False,0.85
q6,subset_20,True,1,True,False,0.85
q7,subset_20,True,1,True,False,0.85
q8,subset_20,True,1,True,False,0.85
q9,subset_20,True,1,True,False,0.85
q10,subset_20,True,1,True,False,0.85
q11,subset_20,True,1,True,False,0.85
q12,subset_20,True,1,True,False,0.85
q13,subset_20,True,1,True,False,0.85
q14,subset_20,True,1,True,False,0.85
q15,subset_20,True,1,True,False,0.85
q1,subset_100,True,1,True,False,0.85
q2,subset_100,True,1,True,False,0.85
q3,subset_100,True,1,True,False,0.85
q4,subset_100,True,1,True,False,0.85
q5,subset_100,True,1,True,False,0.85
q6,subset_100,True,1,True,False,0.85
q7,subset_100,True,1,True,False,0.85
q8,subset_100,True,1,True,False,0.85
q9,subset_100,True,1,True,False,0.85
q10,subset_100,True,1,True,False,0.85
q11,subset_100,True,1,True,False,0.85
q12,subset_100,True,1,True,False,0.85
q13,subset_100,True,1,True,False,0.85
q14,subset_100,True,1,True,False,0.85
q15,subset_100,True,1,True,False,0.85
