qid,question,ground_truth,topic
elementary_1,What is 15 + 27?,42,arithmetic
elementary_2,"If a pizza has 8 slices and you eat 3, how many are left?",5,word_problems
elementary_3,What is 6 × 7?,42,multiplication
elementary_4,What is 100 ÷ 4?,25,division
elementary_5,What is 15 + 27?,42,arithmetic
elementary_6,"If a pizza has 8 slices and you eat 3, how many are left?",5,word_problems
elementary_7,What is 6 × 7?,42,multiplication
elementary_8,What is 100 ÷ 4?,25,division
elementary_9,What is 15 + 27?,42,arithmetic
elementary_10,"If a pizza has 8 slices and you eat 3, how many are left?",5,word_problems
elementary_11,What is 6 × 7?,42,multiplication
elementary_12,What is 100 ÷ 4?,25,division
elementary_13,What is 15 + 27?,42,arithmetic
elementary_14,"If a pizza has 8 slices and you eat 3, how many are left?",5,word_problems
elementary_15,What is 6 × 7?,42,multiplication
elementary_16,What is 100 ÷ 4?,25,division
elementary_17,What is 15 + 27?,42,arithmetic
elementary_18,"If a pizza has 8 slices and you eat 3, how many are left?",5,word_problems
elementary_19,What is 6 × 7?,42,multiplication
elementary_20,What is 100 ÷ 4?,25,division
elementary_21,What is 15 + 27?,42,arithmetic
elementary_22,"If a pizza has 8 slices and you eat 3, how many are left?",5,word_problems
elementary_23,What is 6 × 7?,42,multiplication
elementary_24,What is 100 ÷ 4?,25,division
elementary_25,What is 15 + 27?,42,arithmetic
middle_1,Solve for x: 2x + 5 = 13,x = 4,algebra
middle_2,What is the area of a rectangle with length 6 and width 4?,24,geometry
middle_3,What is 3² + 4²?,25,exponents
middle_4,What is 20% of 150?,30,percentages
middle_5,Solve for x: 2x + 5 = 13,x = 4,algebra
middle_6,What is the area of a rectangle with length 6 and width 4?,24,geometry
middle_7,What is 3² + 4²?,25,exponents
middle_8,What is 20% of 150?,30,percentages
middle_9,Solve for x: 2x + 5 = 13,x = 4,algebra
middle_10,What is the area of a rectangle with length 6 and width 4?,24,geometry
middle_11,What is 3² + 4²?,25,exponents
middle_12,What is 20% of 150?,30,percentages
middle_13,Solve for x: 2x + 5 = 13,x = 4,algebra
middle_14,What is the area of a rectangle with length 6 and width 4?,24,geometry
middle_15,What is 3² + 4²?,25,exponents
middle_16,What is 20% of 150?,30,percentages
middle_17,Solve for x: 2x + 5 = 13,x = 4,algebra
middle_18,What is the area of a rectangle with length 6 and width 4?,24,geometry
middle_19,What is 3² + 4²?,25,exponents
middle_20,What is 20% of 150?,30,percentages
middle_21,Solve for x: 2x + 5 = 13,x = 4,algebra
middle_22,What is the area of a rectangle with length 6 and width 4?,24,geometry
middle_23,What is 3² + 4²?,25,exponents
middle_24,What is 20% of 150?,30,percentages
middle_25,Solve for x: 2x + 5 = 13,x = 4,algebra
high_1,Find the derivative of x² + 3x + 2,2x + 3,calculus
high_2,Solve the quadratic equation: x² - 5x + 6 = 0,x = 2 or x = 3,algebra
high_3,What is sin(30°)?,0.5,trigonometry
high_4,What is log₂(8)?,3,logarithms
high_5,Find the derivative of x² + 3x + 2,2x + 3,calculus
high_6,Solve the quadratic equation: x² - 5x + 6 = 0,x = 2 or x = 3,algebra
high_7,What is sin(30°)?,0.5,trigonometry
high_8,What is log₂(8)?,3,logarithms
high_9,Find the derivative of x² + 3x + 2,2x + 3,calculus
high_10,Solve the quadratic equation: x² - 5x + 6 = 0,x = 2 or x = 3,algebra
high_11,What is sin(30°)?,0.5,trigonometry
high_12,What is log₂(8)?,3,logarithms
high_13,Find the derivative of x² + 3x + 2,2x + 3,calculus
high_14,Solve the quadratic equation: x² - 5x + 6 = 0,x = 2 or x = 3,algebra
high_15,What is sin(30°)?,0.5,trigonometry
high_16,What is log₂(8)?,3,logarithms
high_17,Find the derivative of x² + 3x + 2,2x + 3,calculus
high_18,Solve the quadratic equation: x² - 5x + 6 = 0,x = 2 or x = 3,algebra
high_19,What is sin(30°)?,0.5,trigonometry
high_20,What is log₂(8)?,3,logarithms
high_21,Find the derivative of x² + 3x + 2,2x + 3,calculus
high_22,Solve the quadratic equation: x² - 5x + 6 = 0,x = 2 or x = 3,algebra
high_23,What is sin(30°)?,0.5,trigonometry
high_24,What is log₂(8)?,3,logarithms
high_25,Find the derivative of x² + 3x + 2,2x + 3,calculus
college_1,Evaluate the integral ∫(2x + 1)dx from 0 to 2,6,calculus
college_2,"Find the eigenvalues of the matrix [[2, 1], [1, 2]]","λ₁ = 3, λ₂ = 1",linear_algebra
college_3,What is the limit as x approaches 0 of (sin x)/x?,1,calculus
college_4,Solve the differential equation dy/dx = 2y,y = Ce^(2x),differential_equations
college_5,Evaluate the integral ∫(2x + 1)dx from 0 to 2,6,calculus
college_6,"Find the eigenvalues of the matrix [[2, 1], [1, 2]]","λ₁ = 3, λ₂ = 1",linear_algebra
college_7,What is the limit as x approaches 0 of (sin x)/x?,1,calculus
college_8,Solve the differential equation dy/dx = 2y,y = Ce^(2x),differential_equations
college_9,Evaluate the integral ∫(2x + 1)dx from 0 to 2,6,calculus
college_10,"Find the eigenvalues of the matrix [[2, 1], [1, 2]]","λ₁ = 3, λ₂ = 1",linear_algebra
college_11,What is the limit as x approaches 0 of (sin x)/x?,1,calculus
college_12,Solve the differential equation dy/dx = 2y,y = Ce^(2x),differential_equations
college_13,Evaluate the integral ∫(2x + 1)dx from 0 to 2,6,calculus
college_14,"Find the eigenvalues of the matrix [[2, 1], [1, 2]]","λ₁ = 3, λ₂ = 1",linear_algebra
college_15,What is the limit as x approaches 0 of (sin x)/x?,1,calculus
college_16,Solve the differential equation dy/dx = 2y,y = Ce^(2x),differential_equations
college_17,Evaluate the integral ∫(2x + 1)dx from 0 to 2,6,calculus
college_18,"Find the eigenvalues of the matrix [[2, 1], [1, 2]]","λ₁ = 3, λ₂ = 1",linear_algebra
college_19,What is the limit as x approaches 0 of (sin x)/x?,1,calculus
college_20,Solve the differential equation dy/dx = 2y,y = Ce^(2x),differential_equations
college_21,Evaluate the integral ∫(2x + 1)dx from 0 to 2,6,calculus
college_22,"Find the eigenvalues of the matrix [[2, 1], [1, 2]]","λ₁ = 3, λ₂ = 1",linear_algebra
college_23,What is the limit as x approaches 0 of (sin x)/x?,1,calculus
college_24,Solve the differential equation dy/dx = 2y,y = Ce^(2x),differential_equations
college_25,Evaluate the integral ∫(2x + 1)dx from 0 to 2,6,calculus
