valid,filename,dataset,model,sample_size,timestamp,max_turns,temperature,seed,source,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,n_samples,split,run_name,config,model_clean,dataset_clean,condition
True,gsm8k_gpt-4o_summary_20250918_141532.csv,gsm8k,gpt-4o,8.0,20250918_141532,3,0.2,42,csv_results,0.94,0.8932180817111154,0.9867819182888845,100,,,,GPT-4o,GSM8K,Self-Correction (3-turn)
True,gsm8k_gpt-4o_summary_20250918_165320.csv,gsm8k,gpt-4o,8.0,20250918_165320,3,0.2,42,csv_results,0.864,0.8339231656464737,0.8940768343535263,500,,,,GPT-4o,GSM8K,Self-Correction (3-turn)
True,gsm8k_gpt-4o-mini_summary_20250917_152327.csv,gsm8k,gpt-4o-mini,8.0,20250917_152327,3,0.2,42,csv_results,0.3333333333333333,0.0,0.9866666666666666,3,,,,GPT-4o-mini,GSM8K,Self-Correction (3-turn)
True,gsm8k_gpt-4o-mini_summary_20250918_192858.csv,gsm8k,gpt-4o-mini,8.0,20250918_192858,3,0.2,42,csv_results,0.878,0.8492834031077122,0.9067165968922878,500,,,,GPT-4o-mini,GSM8K,Self-Correction (3-turn)
True,gsm8k_deterministic_100.json_gpt-4o-mini_summary_20250921_062034.csv,gsm8k,gpt-4o-mini,8.0,20250921_062034,3,0.2,42,csv_results,0.874,0.8534214715240802,0.8945785284759198,1000,,,,GPT-4o-mini,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250916T202243Z,1,0.2,1,runs_directory,0.0,0.0,0.0,1000,dev,20250916T202243Z__gsm8k__dev__demo-model-1__seed1__t0.2__mt1,"{'dataset': 'gsm8k', 'subset': 'subset_20', 'max_turns': 1, 'provider': 'demo', 'model': 'demo-model-1', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Baseline
True,,gsm8k,dev,,20250918T162801Z,1,0.2,1,runs_directory,0.0,0.0,0.0,20,dev,20250918T162801Z__gsm8k__dev__demo-model-1__seed1__t0.2__mt1,"{'dataset': 'gsm8k', 'subset': 'subset_20', 'max_turns': 1, 'provider': 'demo', 'model': 'demo-model-1', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Baseline
True,,gsm8k,dev,,20250916T210801Z,1,0.2,1,runs_directory,0.0,0.0,0.0,1000,dev,20250916T210801Z__gsm8k__dev__demo-openai-mini__seed1__t0.2__mt1,"{'dataset': 'gsm8k', 'subset': 'subset_20', 'max_turns': 1, 'provider': 'mixed', 'model': 'demo-openai-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Baseline
True,,gsm8k,dev,,20250918T162200Z,1,0.2,1,runs_directory,0.0,0.0,0.0,20,dev,20250918T162200Z__gsm8k__dev__demo-model-1__seed1__t0.2__mt1,"{'dataset': 'gsm8k', 'subset': 'subset_20', 'max_turns': 1, 'provider': 'demo', 'model': 'demo-model-1', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Baseline
True,,gsm8k,dev,,20250919T055452Z,1,0.2,1,runs_directory,0.466,0.424,0.512,500,dev,20250919T055452Z__gsm8k__dev__gpt-4o-mini__seed1__t0.2__mt1,"{'dataset': 'gsm8k', 'subset': 'subset_500', 'max_turns': 1, 'provider': 'mixed', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Baseline
True,,gsm8k,dev,,20250917T221829Z,1,0.2,1,runs_directory,0.0,0.0,0.0,5,dev,20250917T221829Z__gsm8k__dev__demo-model-1__seed1__t0.2__mt1,"{'dataset': 'gsm8k', 'subset': 'subset_5', 'max_turns': 1, 'provider': 'demo', 'model': 'demo-model-1', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Baseline
True,,gsm8k,dev,,20250919T070819Z,1,0.2,1,runs_directory,0.37,0.28,0.47,100,dev,20250919T070819Z__gsm8k__dev__gpt-4o__seed1__t0.2__mt1,"{'dataset': 'gsm8k', 'subset': 'subset_100', 'max_turns': 1, 'provider': 'mixed', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Baseline
True,,gsm8k,dev,,20250919T032610Z,1,0.2,1,runs_directory,0.0,0.0,0.0,20,dev,20250919T032610Z__gsm8k__dev__demo-model-1__seed1__t0.2__mt1,"{'dataset': 'gsm8k', 'subset': 'subset_20', 'max_turns': 1, 'provider': 'demo', 'model': 'demo-model-1', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Baseline
True,,gsm8k,dev,,20250919T032610Z,1,0.2,1,runs_directory,0.0,0.0,0.0,20,dev,20250919T032610Z__gsm8k__dev__demo-openai-mini__seed1__t0.2__mt1,"{'dataset': 'gsm8k', 'subset': 'subset_20', 'max_turns': 1, 'provider': 'mixed', 'model': 'demo-openai-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Baseline
True,,gsm8k,dev,,20250908T211944Z,2,0.2,1,runs_directory,0.6666666666666666,0.3333333333333333,1.0,3,20,20250908T211944Z__gsm8k_20__dev__gpt-4o__seed1__t0.2__mt2,"{'dataset': 'runs/tmp/inputs/gsm8k_20.csv', 'subset': None, 'max_turns': 2, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (2-turn)
True,,gsm8k,dev,,20250912T191434Z,2,0.2,1,runs_directory,0.0,0.0,0.0,3,sample,20250912T191434Z__gsm8k_sample__dev__demo__seed1__t0.2__mt2,"{'dataset': 'data/scaling/gsm8k_sample.csv', 'subset': None, 'max_turns': 2, 'provider': 'demo', 'model': 'demo', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (2-turn)
True,,gsm8k,dev,,20250914T110324Z,2,0.2,1,runs_directory,0.0,0.0,0.0,3,sample,20250914T110324Z__gsm8k_sample__dev__demo__seed1__t0.2__mt2,"{'dataset': 'data/scaling/gsm8k_sample.csv', 'subset': None, 'max_turns': 2, 'provider': 'demo', 'model': 'demo', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (2-turn)
