problem_id,dataset,model,provider,temperature,question,reference_answer,final_answer,final_accuracy,total_turns,initial_accuracy,improvement,reasoning_trace_files,templates_used,biases_detected,final_confidence,experiment_config
superglue_1,superglue_sample_500.csv,gpt-4o,openai,0.2,Sample reasoning question 1,Sample reasoning answer 1,25,0,3,0,0,reasoning_traces/math/superglue_1/turn_0_reasoning.txt|reasoning_traces/math/superglue_1/turn_1_reasoning.txt|reasoning_traces/math/superglue_1/turn_2_reasoning.txt,devils_advocate_v1|devils_advocate_v1,Confirmation|Confirmation|Confirmation,0.6,"{""dataset_name"": ""superglue_sample_500.csv"", ""model"": ""gpt-4o"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""main_run""}"
superglue_2,superglue_sample_500.csv,gpt-4o,openai,0.2,Sample reasoning question 2,Sample reasoning answer 2,30,0,3,0,0,reasoning_traces/math/superglue_2/turn_0_reasoning.txt|reasoning_traces/math/superglue_2/turn_1_reasoning.txt|reasoning_traces/math/superglue_2/turn_2_reasoning.txt,devils_advocate_v1|devils_advocate_v1,Confirmation|Confirmation|Confirmation,0.6,"{""dataset_name"": ""superglue_sample_500.csv"", ""model"": ""gpt-4o"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""main_run""}"
superglue_3,superglue_sample_500.csv,gpt-4o,openai,0.2,Sample reasoning question 3,Sample reasoning answer 3,11,0,3,0,0,reasoning_traces/math/superglue_3/turn_0_reasoning.txt|reasoning_traces/math/superglue_3/turn_1_reasoning.txt|reasoning_traces/math/superglue_3/turn_2_reasoning.txt,devils_advocate_v1|devils_advocate_v1,Confirmation|Confirmation|Confirmation,0.6,"{""dataset_name"": ""superglue_sample_500.csv"", ""model"": ""gpt-4o"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""main_run""}"
superglue_4,superglue_sample_500.csv,gpt-4o,openai,0.2,Sample reasoning question 4,Sample reasoning answer 4,4,1,1,1,0,reasoning_traces/math/superglue_4/turn_0_reasoning.txt,,Anchoring,0.65,"{""dataset_name"": ""superglue_sample_500.csv"", ""model"": ""gpt-4o"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""main_run""}"
superglue_5,superglue_sample_500.csv,gpt-4o,openai,0.2,Sample reasoning question 5,Sample reasoning answer 5,5,1,1,1,0,reasoning_traces/math/superglue_5/turn_0_reasoning.txt,,Anchoring,0.65,"{""dataset_name"": ""superglue_sample_500.csv"", ""model"": ""gpt-4o"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""main_run""}"
superglue_6,superglue_sample_500.csv,gpt-4o,openai,0.2,Sample reasoning question 6,Sample reasoning answer 6,6,1,1,1,0,reasoning_traces/math/superglue_6/turn_0_reasoning.txt,,Anchoring,0.65,"{""dataset_name"": ""superglue_sample_500.csv"", ""model"": ""gpt-4o"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""main_run""}"
superglue_7,superglue_sample_500.csv,gpt-4o,openai,0.2,Sample reasoning question 7,Sample reasoning answer 7,48,0,3,0,0,reasoning_traces/math/superglue_7/turn_0_reasoning.txt|reasoning_traces/math/superglue_7/turn_1_reasoning.txt|reasoning_traces/math/superglue_7/turn_2_reasoning.txt,devils_advocate_v1|devils_advocate_v1,Confirmation|Confirmation|Confirmation,0.6,"{""dataset_name"": ""superglue_sample_500.csv"", ""model"": ""gpt-4o"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""main_run""}"
superglue_8,superglue_sample_500.csv,gpt-4o,openai,0.2,Sample reasoning question 8,Sample reasoning answer 8,8,1,1,1,0,reasoning_traces/math/superglue_8/turn_0_reasoning.txt,,Anchoring,0.65,"{""dataset_name"": ""superglue_sample_500.csv"", ""model"": ""gpt-4o"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""main_run""}"
superglue_9,superglue_sample_500.csv,gpt-4o,openai,0.2,Sample reasoning question 9,Sample reasoning answer 9,-30,0,3,0,0,reasoning_traces/math/superglue_9/turn_0_reasoning.txt|reasoning_traces/math/superglue_9/turn_1_reasoning.txt|reasoning_traces/math/superglue_9/turn_2_reasoning.txt,devils_advocate_v1|devils_advocate_v1,Confirmation|Confirmation|Confirmation,0.6,"{""dataset_name"": ""superglue_sample_500.csv"", ""model"": ""gpt-4o"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""main_run""}"
superglue_10,superglue_sample_500.csv,gpt-4o,openai,0.2,Sample reasoning question 10,Sample reasoning answer 10,1,0,3,0,0,reasoning_traces/math/superglue_10/turn_0_reasoning.txt|reasoning_traces/math/superglue_10/turn_1_reasoning.txt|reasoning_traces/math/superglue_10/turn_2_reasoning.txt,devils_advocate_v1|devils_advocate_v1,Confirmation|Confirmation|Confirmation,0.6,"{""dataset_name"": ""superglue_sample_500.csv"", ""model"": ""gpt-4o"", ""provider"": ""openai"", ""temperature"": 0.2, ""max_turns"": 3, ""experiment_id"": ""main_run""}"
